id,first_seen,file_type
aff39ad5921bc6801084c76ea31d61e91af493cec7182552c5c89b1cefa06929,2020-04-30T11:30:35+00:00,OLE
c0381b65a09796156de7dfc69e48cd0d16d67a27ced3fd15bc0c86c8d0f97b75,2020-04-29T11:03:15+00:00,OLE
3d456f9f9c88b76027f09f78c54d24b441068152b32dfa8fe13deaf443e8ebbd,2020-04-28T10:57:23+00:00,RTF
b2d1a555d9ac25306964ef4b5ddabb6337f194b12c617eeb409891253333cb9e,2020-04-28T10:54:33+00:00,OLE
847f22a4aa10aa609c2f79ec85c3b9450b4172786e4934d8b38639edd3b12818,2020-04-28T10:54:24+00:00,OLE
5cd489151b7f8e625361a2462418b0b3ed2672174d3928964b86b7c54fa58614,2020-04-28T10:52:50+00:00,OLE
0fef772dbc348ed1fa82960756531598e41b0f5d1327f6a1741fa28ffe563c77,2020-04-28T10:51:56+00:00,OLE
18969f63f000f6c0947479122c24f0005e8e5315add1623c1f7c2a6c3a8a9586,2020-04-28T10:51:46+00:00,OLE
029741084357d99ff07355f08a0dc80d6edeedc4bf07fc5cca72fd7ba484df29,2020-04-28T06:27:24+00:00,RTF
7f508c553997dafd741c9f6043bc9f47e71877ce3630f096d8def75eeb51d3d5,2020-04-27T21:38:45+00:00,OLE
a27f6b577754b4fc8addc2299d18c0ef8a4937060d4a29c52999427000b3c889,2020-04-27T13:16:30+00:00,OLE
15b08a0a719a6c3aa27397fc8b43aab0a3f34e75d17348bad8ab99423ac1affd,2020-04-27T12:41:38+00:00,OLE
1cf86dce369fefdc0d9fd83a3a14bfc1a5c571214c45ba377392061ad94602cc,2020-04-26T19:17:57+00:00,OLE
b124d663de2b3cee414496967b0f36a144600b2f2469116e5b86df486a05667f,2020-04-25T03:31:07+00:00,OLE
92637f90b3cadcf793144d0bef832f363d47b55208bcac0cc849ce9d5c4493b2,2020-04-24T19:38:10+00:00,OLE
4f21fb1d4356a8e01c2f9aa0f917f2db53c8b3083126151e26a6625c58190663,2020-04-24T19:38:10+00:00,OFFICE_XLSM
becca2f219c2a50a2b40b601707eaee834136c65825a8f7d30407d997a21292d,2020-04-24T17:01:14+00:00,OLE
4459f1b07699aa357a1938dff82521d3851cfb330657dbfc7d308e892c70e3e0,2020-04-24T17:00:11+00:00,OFFICE_DOCM
c7138b287b41801c21dcb172d4ce58a1f0fa8b4e50134a53ce31a573b8fe0f48,2020-04-24T05:00:47+00:00,OLE
51ec2035b4600486a6ba340e0f5fee45a71ffa6ba086fded1dc2b01809c2bfee,2020-04-23T17:33:33+00:00,OLE
e888042663f8f2e4eb5c3060ffc01d45c5002d025fa9d75aca2fd12cf9d6ea66,2020-04-23T14:05:39+00:00,OLE
a890ec38a53a3535d93a02a7bee429ab878f77346aa697426f766b5d93a1e1c1,2020-04-23T12:37:09+00:00,OLE
6bffaa08a8be3fd4126d18c8a2838d9f1c26eb531ab4396b94aa0225ea5d85c8,2020-04-22T18:38:49+00:00,OLE
4d6488a7db35e0447f6fe44e94f26773cf8666c7071ec27257daeca7bd72bab1,2020-04-22T08:19:07+00:00,LNK
dd5a0eea70fe63c933bfce74a42891563fa8597f64f3589fe6fd3ae16456aa4d,2020-04-21T12:26:04+00:00,RTF
200a572338d5f4089fc947491c6df3bda71c55d92bdac7820f00d0db914855f4,2020-04-21T10:07:01+00:00,OFFICE_XLSM
dd4863e8ecaa9dfc3b8c35d3b0f25457714ed5334743f81369dd0917dcb1dfd4,2020-04-20T08:40:34+00:00,OLE
61efc49aebaa77b14a89c83bfdcf0c0147b7eea18be5585694ca041afd28e70e,2020-04-17T03:35:33+00:00,OFFICE_XLSM
5154c754ec4d7b82addafcdf231bf35e76e63591da68dba19ebce939e051ce16,2020-04-11T12:07:59+00:00,OLE
267ef432884526d4777cdaa2d3265873782504891d8d0a74344c90eb96f49683,2020-04-10T21:07:32+00:00,OLE
d79beb177d9a38bf5c1b9dbbf6f332b2ac8b810ecda0bfcd55222b6063eb41c0,2020-04-08T09:42:20+00:00,RTF
1fbc24bc679168efa04ced74db040565777a4658afa2e90761f0d29efb77f073,2020-04-08T06:15:25+00:00,OLE
70ea21eb1d01c71c73267483366f61e8856c35588d9ec75b021765e5a5d08f17,2020-04-07T16:44:25+00:00,OLE
4376c7efacae78bf97d3286fe7de5d5b9640e55f4d992c3e2115afa724485bb9,2020-04-07T13:00:50+00:00,OLE
930586478abd6975716e2f9d44f5273a66955d58f7c8a66dc90b9735a53e13c1,2020-04-06T18:24:05+00:00,OLE
5c38e2dccacaefc7adcbea0dc5b69abfe06a12383b23883bb9c60854a03ca7bb,2020-04-06T18:24:05+00:00,OLE
458f33a1dc34e0b587dda65f10238f590738abe8a453511fab0558144b919e37,2020-04-06T17:55:13+00:00,RTF
92743e93801e7a0f86906a0203b7c801be85bd52a38d4d92f1cabb48e004dd7f,2020-04-02T14:42:55+00:00,OLE
14e3b64dbbe17dc6e6bd57658a5dff5a6507bdb5acd318b3f9f36595ad91c348,2020-04-02T12:57:17+00:00,OLE
b8919ec023f7e7a3607ba086382a01c2b66f1866a4b1f38cc0495332965f4cf9,2019-11-16T20:31:14+00:00,OLE
1a0b9ab4c52376e0b8af1874e7ed3d84f2c84b5531abfaee95dfa2ab6d156893,2019-10-29T15:46:17+00:00,RTF
