id,first_seen,file_type
so-net.ne.jp/covidapprove,2021-05-26T19:42:56+00:00,URL
5eykun37.covid19mu.com/.amhazhvuyxnjyxbpdgfslmnvbq==,2021-05-26T18:18:43+00:00,URL
xwlxng4a.covid19mu.com,2021-05-26T18:18:25+00:00,URL
bkrplbb7.covid19mu.com/.d29szmdhbmcud2fuz0bjagluys1haxjsaw5lcy5jb20=,2021-05-26T18:16:38+00:00,URL
clfogubk.covid19mu.com/.d2f5bmuud2vpqgnoaw5hlwfpcmxpbmvzlmnvbq==,2021-05-26T18:16:38+00:00,URL
5muxnelg.covid19mu.com/.ywtpcmeudg90c3vryubtaxp1ag90yi5jby5qca==,2021-05-26T18:16:36+00:00,URL
