id,first_seen,file_type
ubercovid.com,2020-07-17T19:28:07+00:00,URL
defensacovid.com/wp-admin/dgzimvvo,2020-07-17T19:26:13+00:00,URL
covid19.min-saude.pt/wp-content/uploads/2020/07/20200717_lab.referenciados.pdf,2020-07-17T18:24:53+00:00,URL
tb.beatcovid19together.com/newsletter_20190524_cybercartes/020/orange.fr/nath/2a9mhx2qrzki47c0swj.juillard,2020-07-17T18:15:54+00:00,URL
autodiscover.stopcoronavirustoday.com,2020-07-17T18:15:31+00:00,URL
fb-riau-mahasiswa-st2p-positif-covid19.000webhostapp.com,2020-07-17T17:38:20+00:00,URL
