id,first_seen,file_type
ujpyzpvo.covid19mu.com/.bxlozwfsdghacmfmzmxlc21lzgljywwuy29t,2021-05-27T03:16:42+00:00,URL
alu6ko4q.covid19mu.com/.znjhbmnlc2nvlmzyyw5jaw9zb0bjahjvbwf2axmuy29t,2021-05-27T03:16:33+00:00,URL
bhx8tux3.covid19mu.com/.yw5uys50ywdsawvudgvay2hyb21hdmlzlmnvbq==,2021-05-27T03:16:32+00:00,URL
65uu5izn.covid19mu.com/.axz5lmnob3daagsudhjpy29yz2xvymfslmnvbq==,2021-05-27T03:16:32+00:00,URL
aurna6qi.covid19mu.com/.bxlozwfsdghacmfmzmxlc21lzgljywwuy29t,2021-05-27T03:16:32+00:00,URL
8nqwzzrp.covid19mu.com/.dhp1lwnoawvolmxlzubjagluys1haxjsaw5lcy5jb20=,2021-05-27T03:16:32+00:00,URL
bgyha5zn.covid19mu.com/.y2hhcmxvdhrllmnozwvaagsudhjpy29yz2xvymfslmnvbq==,2021-05-27T03:16:32+00:00,URL
6sm1ojjt.covid19mu.com/.zwn1cnradgv4zw4uy29t,2021-05-27T03:16:31+00:00,URL
1etewqvz.covid19mu.com/.dgtzb25nqgliay5jby5rcg==,2021-05-27T03:16:31+00:00,URL
0uuvwbby.covid19mu.com/.znv0dxjlqgliay5jby5rcg==,2021-05-27T03:16:31+00:00,URL
