id,first_seen,file_type
sanchezdevanny.com/es/coronavirus,2020-07-05T14:00:12+00:00,URL
757recovery.com/blog/webinar-series-recovering-from-covid-1=,2020-07-05T13:55:24+00:00,URL
directos.wessual.com/services/msd/20200622_vc_covid19/index.ph=,2020-07-05T13:23:26+00:00,URL
help-account-amazon-covid19.giize.com,2020-07-05T13:16:19+00:00,URL
cpcontacts.help-account-amazon-covid19.giize.com,2020-07-05T13:16:17+00:00,URL
covidchamp.com,2020-07-05T13:10:25+00:00,URL
storage.googleapis.com/covid19dfagfdghsfgddcovid19fertgdfgfpackage2020covid19/65ghty657hj67546rty5454.html,2020-07-05T12:10:30+00:00,URL
