id,first_seen,file_type
cd76393.tmweb.ru/covidapprove,2020-12-02T19:53:18+00:00,URL
cu48691.tmweb.ru/covidapprove,2020-12-02T19:53:15+00:00,URL
annyreposteriafina.com/covidapprove/attachment%20name%2020200408_2049.pdf.html,2020-12-02T19:44:13+00:00,URL
pochtarefund-xeq6ne.aakob.xyz/covidapprove/attachment%20name%2020200408_2049.pdf.html,2020-12-02T19:44:11+00:00,URL
pochtarefund-xeq6nu.aakof.xyz/covidapprove,2020-12-02T19:43:05+00:00,URL
cpanel.stimuluspackagecoronavirus.com,2020-12-02T19:41:56+00:00,URL
pochtarefund-xeq16m.aakny.xyz/covidapprove/attachment%20name%2020200409_2049.pdf.html,2020-12-02T19:33:49+00:00,URL
webmail.aprendizajesdelcoronavirus.com,2020-12-02T18:38:40+00:00,URL
webdisk.impactoeconomicocoronavirus.com,2020-12-02T18:38:16+00:00,URL
