id,first_seen,file_type
apbxkc.covidharsh.com,2021-09-23T08:28:15+00:00,URL
adlxkw.covidharsh.com,2021-09-23T08:28:15+00:00,URL
aepwfh.covidharsh.com,2021-09-23T08:28:14+00:00,URL
afxdns.covidharsh.com,2021-09-23T08:28:14+00:00,URL
anvpwy.covidharsh.com,2021-09-23T08:28:13+00:00,URL
amybwt.covidharsh.com,2021-09-23T08:28:11+00:00,URL
asmfol.covidharsh.com,2021-09-23T08:28:08+00:00,URL
abjmjx.covidharsh.com,2021-09-23T08:28:06+00:00,URL
awgxwv.covidharsh.com,2021-09-23T08:28:05+00:00,URL
aabpjs.covidharsh.com,2021-09-23T08:28:04+00:00,URL
alsope.covidharsh.com,2021-09-23T08:28:03+00:00,URL
