id,first_seen,file_type
cdn-113.anonfiles.com/lc32feqaob/8f3ba97b-1599091307/covid-19.zip,2020-09-02T23:55:24+00:00,URL
cdn.discordapp.com/attachments/733071256458494044/749476182634004570/covid-19_2.zip,2020-09-02T23:05:36+00:00,URL
cdn.discordapp.com/attachments/734789421081165965/750727284176191559/covid-19.zip,2020-09-02T22:27:37+00:00,URL
starhub-coronavirus.notreply.org,2020-09-02T22:15:40+00:00,URL
covid19destroyers.com,2020-09-02T22:15:40+00:00,URL
covid-19-r16e.onrender.com,2020-09-02T22:15:25+00:00,URL
covid19-rapidtestkits.dademadedev.com,2020-09-02T22:15:24+00:00,URL
covid19funds.hmrc.gov.uk.darpansharma.com,2020-09-02T22:15:24+00:00,URL
covid19-aml.com,2020-09-02T22:15:06+00:00,URL
alexandria-stars.com/covid,2020-09-02T21:48:07+00:00,URL
alexandria-stars.com/covid/181.215.78.2335643/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,2020-09-02T21:48:06+00:00,URL
researchgate.net/profile/miguel_castillo-reina/publication/343774885_efectos_y_expectativas_de_recuperacion_economica_frente_a_la_pandemia_covid-19_en_el_departamento_de_boyaca/links/5f3ed490299bf13404d6d398/efectos-y-expectativas-de-recuperacion-economica-frente-a-la-pandemia-covid-19-en-el-departamento-de-boyaca.pdf,2020-09-02T20:40:48+00:00,URL
indowineliquor.com/covid/191.95.156.1113760/sucursalpersonas.transaccionesbancolombia.com/mua/validator_tc.php,2020-09-02T20:28:16+00:00,URL
indowineliquor.com/covid/191.95.156.1113760/sucursalpersonas.transaccionesbancolombia.com/mua/salta.php,2020-09-02T20:28:16+00:00,URL
analiz-coronavirus.ru,2020-09-02T20:27:13+00:00,URL
