id,first_seen,file_type
cpcalendars.coronavirusglobal.ru,2020-07-19T18:19:33+00:00,URL
webmail.covid19-test.ru,2020-07-19T18:19:32+00:00,URL
cpanel.covid19-test.ru,2020-07-19T18:19:32+00:00,URL
mail.coronavirus-relief.online,2020-07-19T18:19:31+00:00,URL
covid-19pro.ru,2020-07-19T18:19:19+00:00,URL
topstory.coronavirusmovies.uno,2020-07-19T18:17:26+00:00,URL
36c4536996ca5615dcf9911f068786dc.covid19financialrescue.co.uk,2020-07-19T18:17:21+00:00,URL
covid-19-analysis.onrender.com,2020-07-19T18:17:15+00:00,URL
covid19livenewsupdate.com,2020-07-19T18:17:15+00:00,URL
storageboss.covid19.qwkcheckout.com,2020-07-19T18:17:14+00:00,URL
hilfez-kontos-account-amazon-covid19.giize.com,2020-07-19T18:17:10+00:00,URL
amazon-update-date-covid19.giize.com,2020-07-19T18:17:10+00:00,URL
dropboxconnectzenpanel.gouv-covid19.net,2020-07-19T18:17:09+00:00,URL
account-amazon-verify-covid19.giize.com,2020-07-19T18:17:09+00:00,URL
yosobrevivialcoronavirus.com,2020-07-19T18:17:08+00:00,URL
hilfe-konto-update-amazon-covid19.giize.com,2020-07-19T18:17:08+00:00,URL
komunitascovidbkep19.000webhostapp.com,2020-07-19T17:48:44+00:00,URL
