id,first_seen,file_type
magalluboasofertascontracovid.com/erro,2020-06-17T18:37:50+00:00,URL
webmail.villedefrancecovid19.online,2020-06-17T18:22:11+00:00,URL
vzwhelpcovid19a.com,2020-06-17T18:15:40+00:00,URL
mail.stopcoronavirustoday.com,2020-06-17T18:15:07+00:00,URL
webmail.stopcoronavirustoday.com,2020-06-17T18:15:07+00:00,URL
cpanel.stopcoronavirustoday.com,2020-06-17T18:15:07+00:00,URL
irs-gov-coronavirus-get.ue.r.appspot.com/irs.php?irs.gov/coronavirus-tax-relief-and-economic-impact-payments,2020-06-17T18:13:25+00:00,URL
irs-gov-coronavirus-get.ue.r.appspot.com/irs.php,2020-06-17T18:13:12+00:00,URL
commercialpainters.top/zonebiz/images/zock.php?irs.gov/coronavirus-tax-relief-and-economic-impact-payments,2020-06-17T16:57:45+00:00,URL
irs-gov-coronavirus-get.ue.r.appspot.com,2020-06-17T16:18:11+00:00,URL
