id,first_seen,file_type
mcusercontent.com/4bf39f9ef8b8ce466d04a6713/files/d0f2ba3e-77da-4df9-b7eb-516aec5215ff/covid_19_fraud_guide.pdf,2020-06-25T14:11:27+00:00,URL
avonandsomerset.police.uk/media/32957918/covid-19-fraud-guide.pdf,2020-06-25T14:06:51+00:00,URL
avonandsomerset.police.uk/media/32957917/covid-19-fraud-guide.pdf,2020-06-25T14:00:48+00:00,URL
cpcontacts.amazon-try-account-covid19.gleeze.com,2020-06-25T13:16:22+00:00,URL
cpcontacts.secure01.verificationuser-onlines.covid19.computeronweels.com,2020-06-25T13:16:21+00:00,URL
cpcalendars.amazon-try-account-covid19.gleeze.com,2020-06-25T12:32:56+00:00,URL
amazon-try-account-covid19.gleeze.com,2020-06-25T12:32:54+00:00,URL
vipcovid19.xyz/dll/pbv2.dll,2020-06-25T12:29:11+00:00,URL
webdisk.chase-for-covid19.giize.com,2020-06-25T12:25:44+00:00,URL
amazon-date-verify-covid19.giize.com,2020-06-25T12:25:41+00:00,URL
bantuanpulsa.covid19.r-dns.xyz,2020-06-25T12:25:39+00:00,URL
pulsacovid19.itsaol.com,2020-06-25T12:25:35+00:00,URL
covid19financialrescue-co-uk.vitgevity.com,2020-06-25T12:25:35+00:00,URL
amazon-covid19.serveirc.com,2020-06-25T12:25:32+00:00,URL
amazon-update-germany-covid19.giize.com,2020-06-25T12:25:31+00:00,URL
covid19-update.tk,2020-06-25T12:25:31+00:00,URL
