id,first_seen,file_type
covid-19update.zap515988-1.plesk10.zap-webspace.com,2020-12-02T23:48:23+00:00,URL
covidinternationalspreadsoomuchtruehead.duckdns.org,2020-12-02T23:42:52+00:00,URL
dshbrd-signin-coviddata19-info-user.duckdns.org,2020-12-02T23:42:45+00:00,URL
cdn-118.anonfiles.com/b1e0nfwbo2/0050f477-1606944251/covid.zip,2020-12-02T22:46:24+00:00,URL
cdn-35.anonfiles.com/b1e0nfwbo2/bfaea1de-1606944301/covid.zip,2020-12-02T22:27:34+00:00,URL
pochtarefund-xeq6nl.aakoc.xyz/covidapprove,2020-12-02T20:13:19+00:00,URL
