id,first_seen,file_type
cpcontacts.amazon-update-date5-covid19.giize.com,2020-07-04T03:29:16+00:00,URL
cpcalendars.amazon-update-date5-covid19.giize.com,2020-07-04T03:29:16+00:00,URL
amazon-update-date5-covid19.giize.com,2020-07-04T03:29:15+00:00,URL
covid39.ga,2020-07-04T03:29:12+00:00,URL
cpanel.covidnewstoday.com,2020-07-04T03:27:53+00:00,URL
luto.covid-19.casa,2020-07-04T03:27:32+00:00,URL
rabo-covid19.online,2020-07-04T03:26:49+00:00,URL
covidnewsnow.covidnewstoday.com,2020-07-04T03:25:05+00:00,URL
covid19united.000webhostapp.com,2020-07-04T01:07:43+00:00,URL
covid19united.000webhostapp.com/login.html,2020-07-04T01:07:42+00:00,URL
