id,first_seen,file_type
try.quandl.com/covid19-newsletter?utm_source=email&utm_medium=mailshake&utm_campaign=tammer&msid=c0bdc1f3-000c-4af0-b43b-747bcf623e6f,2020-04-20T11:29:29+00:00,URL
try.quandl.com/covid19-newsletter,2020-04-20T11:29:28+00:00,URL
promosms.eu/lp20/910925050/covid19,2020-04-20T11:22:02+00:00,URL
covid19bireyseliadeniz.com/?i=1,2020-04-20T11:20:58+00:00,URL
community.oecd.org/servlet/jiveservlet/download/172432-1-108395/covid-19-and-responsible-business-conduct%20note.pdf,2020-04-20T08:49:31+00:00,URL
covid19-april.000webhostapp.com,2020-04-20T08:47:39+00:00,URL
