id,first_seen,file_type
cdn.discordapp.com/attachments/771270872052662302/773993420909183006/covid.exe,2020-11-05T19:50:42+00:00,URL
amcovideocom.shaxiabuy.top,2020-11-05T19:30:14+00:00,URL
usyd.eduboard.nascerexport.com/docucloud/covid-19incentives,2020-11-05T19:24:11+00:00,URL
cdn-142.anonfiles.com/t9leo0h7pd/d17f6d5b-1604597333/covid.zip,2020-11-05T17:23:41+00:00,URL
cy.covidhoax.biz/bossman/365/login.php?l=_jehfuq_vjoxk0qwhtogydw1774256418&fid.13inboxlight.aspxn.1774256418&fid.125289964252813inboxlight99642_product-userid&userid=,2020-11-05T17:12:46+00:00,URL
