id,first_seen,file_type
mtp.comune.coronavirus-hilfe.org,2020-06-28T11:34:54+00:00,URL
covid19.agenciavirtuals.com,2020-06-28T11:01:02+00:00,URL
cpcontacts.coronavirustrouble.com,2020-06-28T11:00:39+00:00,URL
cpcalendars.coronavirusproduct.buzz,2020-06-28T11:00:25+00:00,URL
cpcalendars.promocion-netflix-covid19.com,2020-06-28T10:59:55+00:00,URL
cpanel.promocion-netflix-covid19.com,2020-06-28T10:59:20+00:00,URL
uk-covid-19-relieve.com/assets/files,2020-06-28T10:58:10+00:00,URL
cpanel.coronavirus24.ru,2020-06-28T10:56:03+00:00,URL
mail.alertacoronavirus.info,2020-06-28T10:24:28+00:00,URL
mail.coronavirus2019.us,2020-06-28T10:22:58+00:00,URL
mail.covid-19recuperartd.com,2020-06-28T09:39:49+00:00,URL
covidcheck.ru,2020-06-28T09:38:10+00:00,URL
mail.covidnewstoday.com,2020-06-28T09:32:29+00:00,URL
cpcalendars.1covid9-cerb.com,2020-06-28T08:42:19+00:00,URL
