id,first_seen,file_type
covid19intheworld.com,2021-10-09T07:56:37+00:00,URL
protect-covid19.net.ws,2021-10-09T07:51:59+00:00,URL
coronavirus.paranavai.contrarotator.com,2021-10-09T07:51:07+00:00,URL
mycoronavirusinfo.org.ws,2021-10-09T07:48:44+00:00,URL
adil.treatwellationsdevdiscovid19.sa-api.testbrasil.athena.bitdefender.net,2021-10-09T07:43:22+00:00,URL
coronavirus-prep.ws,2021-10-09T06:43:05+00:00,URL
dysoncoronavirusca.com.ru,2021-10-09T06:38:08+00:00,URL
masksforcovid19.edu.ws,2021-10-09T06:04:12+00:00,URL
coronavirustest.blog,2021-10-09T05:52:25+00:00,URL
covid-19claims.org.uk,2021-10-09T05:41:38+00:00,URL
