id,first_seen,file_type
cpcontacts.applestorenetflixpaymentsupdatecovid2020.theworkpc.com,2020-11-10T23:17:25+00:00,URL
rogers-covid-19.site,2020-11-10T23:15:47+00:00,URL
secur-accountportal-logintomyacc-covid-19.ooguy.com,2020-11-10T23:15:28+00:00,URL
bee-eng.com/covid-19-ces-entreprises-qui-reconvertissent-leur-production,2020-11-10T22:39:17+00:00,URL
cdn-104.anonfiles.com/t9leo0h7pd/4e4ac0ee-1605048339/covid.zip,2020-11-10T22:37:24+00:00,URL
cdn-124.anonfiles.com/b1e0nfwbo2/b218c7f9-1605041833/covid.zip,2020-11-10T20:48:32+00:00,URL
cdn-122.anonfiles.com/t9leo0h7pd/ae4e6d95-1605040639/covid.zip,2020-11-10T20:39:54+00:00,URL
