id,first_seen,file_type
irs.gov.covid19-receive.com,2021-05-25T10:42:35+00:00,URL
irs.gov.covid19-receive.com/form/credit_info,2021-05-25T10:03:12+00:00,URL
webaps-xcovid190default.duckdns.org,2021-05-25T09:47:28+00:00,URL
default-covid19notification.duckdns.org,2021-05-25T09:30:15+00:00,URL
default-covid19notification.duckdns.org/account?view=login&appidkey=6979bf6ecf6f450&country=us,2021-05-25T08:58:56+00:00,URL
webaps-xcovid190default.duckdns.org/account?view=login&appidkey=6979bf6ecf6f450&country=us,2021-05-25T08:58:56+00:00,URL
webaps-xcovid190default.duckdns.org/?jp,2021-05-25T08:58:27+00:00,URL
default-covid19notification.duckdns.org/account?view=login&appidkey=3432cadb83d9d50&country=us,2021-05-25T08:18:27+00:00,URL
default-covid19notification.duckdns.org/account?view=login&appidkey=1566b6e828cc9b5&country=us,2021-05-25T08:18:15+00:00,URL
