id,first_seen,file_type
sberbank-covid20.ru.com,2021-03-29T23:52:54+00:00,URL
covid-testkit.co.uk/wp-includes/images/i/newfilesviewc7c782c3b7c54f958e7eb2efff3a49b28866b4fc22dd46cfbad9e6ac9d0cd18cca873584897b48c88d82ecf5cd62783dservices,2021-03-29T22:22:51+00:00,URL
covid-stimulus-payment.gov.free-inhabitant.com,2021-03-29T22:22:02+00:00,URL
covid19-veklury.online,2021-03-29T22:21:58+00:00,URL
cpvqapyxmr.covid19coronaca.net,2021-03-29T22:21:49+00:00,URL
covid19-veklury.top,2021-03-29T22:21:47+00:00,URL
abccoronavirus.online,2021-03-29T22:21:44+00:00,URL
veklury-covid19.online,2021-03-29T22:21:29+00:00,URL
remdesivir-covid19.online,2021-03-29T22:21:25+00:00,URL
