id,first_seen,file_type
restaurant.org/downloads/pdfs/business/covid-19_city-county-face-coverings-health-screeen.pdf,2020-09-05T19:56:50+00:00,URL
ecovalor.cl/covid/190.146.188.34794/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,2020-09-05T19:38:06+00:00,URL
anonymousfiles.io/f/covid-19_1_zao5hnu.zip,2020-09-05T19:15:54+00:00,URL
cdn.discordapp.com/attachments/725851376843751494/731605778905038958/covid-19.zip,2020-09-05T18:28:55+00:00,URL
autodiscover.ayudacoronavirus.a2hosted.com,2020-09-05T18:16:02+00:00,URL
cdn.discordapp.com/attachments/664893779303464991/751832576943194142/covid-19.rar,2020-09-05T18:12:40+00:00,URL
ecovalor.cl/covid,2020-09-05T17:38:06+00:00,URL
ecovalor.cl/covid/186.28.24.2374092/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,2020-09-05T17:38:06+00:00,URL
cdn.discordapp.com/attachments/750468537029754951/750837399566811167/covid-19.zip,2020-09-05T17:00:58+00:00,URL
ecovalor.cl/covid/191.91.232.739945/sucursalpersonas.transaccionesbancolombia.com/mua/index.html,2020-09-05T16:58:06+00:00,URL
ogletree.com/app/uploads/covid-19/covid-19-closure-and-reopening-orders.pdf,2020-09-05T16:37:11+00:00,URL
globalcompactsa.org.za/how-south-african-companies-are-responding-to-covid-19,2020-09-05T16:07:12+00:00,URL
covid19.min-saude.pt/wp-content/uploads/2020/09/20200905_lab.referenciados.pdf,2020-09-05T16:03:44+00:00,URL
stopcoronavirus.nu,2020-09-05T16:01:18+00:00,URL
