id,first_seen,file_type
i-bss.com/covid-19_information.doc,2020-04-27T16:30:48+00:00,URL
covid19-secure.net,2020-04-27T16:27:37+00:00,URL
update.covid-19.casa/jaws,2020-04-27T16:26:42+00:00,URL
auxilioenergiacovid19.com/loadmain.dll,2020-04-27T16:26:38+00:00,URL
github.com/santegouve/covid19/raw/master/covo%20arthemisiapdf.exe,2020-04-27T16:25:01+00:00,URL
ping.covid-19.casa/nop4/sync8.x86,2020-04-27T16:20:13+00:00,URL
ping.covid-19.casa/zrz.sh,2020-04-27T16:19:48+00:00,URL
coronavirusmaps.pro/map.jar,2020-04-27T16:09:52+00:00,URL
coronavirusmaps.pro/data/mapdata.exe,2020-04-27T16:09:51+00:00,URL
covid-saglikbakanligi.com/covid.apk,2020-04-27T15:57:04+00:00,URL
