id,first_seen,file_type
covid19.irs.gov.pigsarmy.finance/form/personal,2021-06-08T10:22:52+00:00,URL
covidmobilevaccines.com,2021-06-08T08:59:16+00:00,URL
covidgrade.com,2021-06-08T08:59:13+00:00,URL
anticovidstore.com,2021-06-08T08:59:03+00:00,URL
s-01.coronavideo.ru,2021-06-08T08:49:26+00:00,URL
covid-sharep.kiranhomestaysojha.com,2021-06-08T08:19:01+00:00,URL
cpcalendars.covid-19mobilelab.com,2021-06-08T08:18:51+00:00,URL
autodiscover.business-postcovid.com,2021-06-08T08:17:32+00:00,URL
