id,first_seen,file_type
cdn.discordapp.com/attachments/715701267661324298/768135791640576020/covid.exe,2020-10-20T15:54:13+00:00,URL
cdn-35.anonfiles.com/b1e0nfwbo2/e43609c6-1603203922/covid.zip,2020-10-20T14:19:39+00:00,URL
polska-covid.dfirma.pl,2020-10-20T13:19:13+00:00,URL
covid-polska.dfirma.pl,2020-10-20T13:19:11+00:00,URL
cdn-31.anonfiles.com/x8i0jfe0p7/4b6df064-1603199105/covid-19.zip,2020-10-20T12:59:11+00:00,URL
cdn-31.anonfiles.com/x8i0jfe0p7/3e8c7556-1603196162/covid-19.zip,2020-10-20T12:20:37+00:00,URL
abbeyroadmoron.com/fonts/covid-19/ali1/ali/login.php,2020-10-20T12:05:26+00:00,URL
mail.negociosxtreme.com.br/covidapprove/attachment%20name%2020200409_2049.pdf.html,2020-10-20T12:03:27+00:00,URL
negociosxtreme.com.br/covidapprove/attachment%20name%2020200409_2049.pdf.html,2020-10-20T12:01:06+00:00,URL
