id,first_seen,file_type,package_name,appname
8b743cb9c839395c77b2762964417396f14ce3318428face350bfc0c43b3aeb2,2021-01-27T05:05:15+00:00,APK,DZ.Eagle.Master,Covid
bc9ad87af535ee604442ef0da715c461e5eccfa7340147b0ba89b93f75f1c30d,2021-01-27T04:57:54+00:00,APK,DZ.Eagle.Master,Covid
ff85534a6575d775ce21a08b219182cdccc1eeb78ea305fc6c9f1b934fab7b7c,2021-01-27T04:45:33+00:00,APK,DZ.Eagle.Master,Covid
4bed1128e2a7b2289340dac1ec5cd4d8dbd71938c7526106ace2b9c9eb4f189d,2021-01-27T04:22:45+00:00,APK,DZ.Eagle.Master,Covid
b8655f661be52ad994f3cd8ac92b2c217aa43b968200c4ed5ebd8b9f377bc811,2021-01-27T04:08:41+00:00,APK,DZ.Eagle.Master,Covid
a2fcf4ebd6a4603645eaf9c5d16a02dbeda85168b04aa7f4f367b2abbb7d9472,2021-01-27T03:46:14+00:00,APK,DZ.Eagle.Master,Covid
9ab234f88fe964d534628b3b809c5953658bcf99c9a8eecfc45a1391315ca94c,2021-01-27T03:30:30+00:00,APK,DZ.Eagle.Master,Covid
6b74953e27b5db4e6a8a3b08405255c027527b716b62c75740bf87fa95c76db1,2021-01-27T03:12:21+00:00,APK,DZ.Eagle.Master,Covid
02d4b6c23c0db5e1e4ee5df8c9c514d93235befbc9a7c620dc58ef189854ae8d,2021-01-27T02:51:36+00:00,APK,DZ.Eagle.Master,Covid
ef9737bec0c45f1a6759c791c77488b6c466b5c6ed8baceec7b64a56e6ad24d0,2021-01-27T02:37:29+00:00,APK,DZ.Eagle.Master,Covid
ee6b2719290b49e725008615b09f2de9c0491f5d7427c0671a5fca57d3fdd8a9,2021-01-27T01:57:16+00:00,APK,DZ.Eagle.Master,Covid
efadf85aa4b82a4d5570b57462222190de0442a5cb944554a9468b65686c58c7,2021-01-27T01:57:09+00:00,APK,DZ.Eagle.Master,Covid
