id,first_seen,file_type,package_name,appname
7d1c3d6217fa5453f427df95933ab13d8f64b3c0f020186bda5975c770696941,2020-06-03T19:41:43+00:00,APK,oxddkxoobbudkn.yojkzrha.pjfzhkibdirykotnbsqaradh,Covid-19 Apps
312db266dafe3ba26c6d892f55c224da7da6db2ceca12e3e27f7a2ae629dec08,2020-06-03T19:05:19+00:00,APK,heibxlffgj.mkpkukglratkas.wdbmqnfswczp,Covid-19 Apps
0fb6d4d23f8d19a87af09a9932e631d5b2437bd169808641d34adf358a26037c,2020-06-03T18:46:36+00:00,APK,yxzesbnxbyet.xubphdjspnkqjn.bsqzpaurfrcelmplcrndhhzr,Covid-19 Apps
