id,first_seen,file_type,package_name,appname
ce06fc15533808adde7eabb5d16a6542f5e94613992e27f1b8aa2d5531702306,2020-12-12T02:48:31+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
060f336cc5a040032c53f07494c27d1a2208d56cb7e3bdb7ce269e5408426f0e,2020-12-12T02:44:24+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
81d8e8e427664260edf72ecd8d452db8fcd8c1319ae15316bff03cc34fc4255b,2020-12-12T02:40:30+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
498268cadb1681441623e3f16b8715a846485cbffff09cfeea6f2fc811b59cbb,2020-12-12T02:30:24+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
a337a0a0bc63b6922ba2e305893b4efa19f691cb70ac69289c0482e9a5d32404,2020-12-12T02:26:55+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
6f9fc47e963541b01e9bfe72d6740dc362f123f3d30bc32748217496e0f82c03,2020-12-12T02:20:31+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
d65586375ec6cb0d1101c0d03ae44da377da0e5a42aeb2c967592fcf355e1f56,2020-12-12T02:16:04+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
c1d0d2408e079cc4ff8786e356d0509e4e78baf697b0ccef999a11478198ea48,2020-12-12T02:13:33+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
9d890267c4b9276cd7d6229d93eeeb963e10e152e924c84ebd5b34d6fea995d7,2020-12-12T02:08:42+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
05f9dbd458771df0cbdb59f9700b18e0fe87e115ac754fde4f545bdc63f14287,2020-12-12T02:01:15+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
d9f431fdcc28e103c1ddc5ba260a8944d5be29d411d6e6aff7deda8d2c13d446,2020-12-12T01:55:22+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
290a5b6a3e92cd392f426365bbc625cc3e15a7f652762766429bd45c45baf25a,2020-12-12T01:49:55+00:00,APK,com.CORONAVIRUS.OUTBREAK,CORONAVIRUS
fdb28bb12891ec45c32ee1ef436a9189558df26b2d86c555fea04f178bfc51d0,2020-12-12T01:41:20+00:00,APK,co.health.covid,AC19
3b08f7bc9a43b05a06245d1e75c732915db7ccfbb9ed697f7d2a9111d02a16fc,2020-12-12T01:01:56+00:00,APK,co.health.covid,AC19
0fca696ddbe6ae48c0297b7e6e5e5d1c1401a46036ee208630a08099e625776e,2020-12-12T00:12:45+00:00,APK,bacon.element.treat,Covid19
ba45f5a36b0a10ee320da644c2bba06e313b65b897abb82e999fd575dbd84436,2020-12-12T00:10:15+00:00,APK,nominee.media.paper,Covid19
